id;account_id;payment_form_id;fixed;percentual
262896;1328862;88;0,32;2,22
262897;1328862;93;0,32;3,68
262898;1328862;94;0,32;3,68
262891;1328862;73;0,75;2,22
262881;1328862;4;0,32;2,22
262887;1328862;12;0,32;2,22
263091;1328862;101;0,75;2,22
262879;1328862;1;0,43;2,22
262880;1328862;3;0,32;3,68
262882;1328862;5;0,32;3,68
262883;1328862;6;0,32;3,68
262884;1328862;7;0,32;3,68
262885;1328862;8;0,32;2,22
262886;1328862;10;0,32;2,22
262878;1328859;101;0,75;2,22
262869;1328859;22;0,32;2,22
262870;1328859;73;0,75;2,22
262871;1328859;75;0,32;3,68
262872;1328859;76;0,32;3,68
262873;1328859;82;0,32;3,68
262874;1328859;83;0,32;2,22
262876;1328859;93;0,32;3,68
262875;1328859;88;0,32;2,22
262867;1328859;13;0,32;2,22
262866;1328859;12;0,32;2,22
262868;1328859;21;0,32;2,22
262877;1328859;94;0,32;3,68
262858;1328859;1;0,43;2,22
262859;1328859;3;0,32;3,68
262860;1328859;4;0,32;2,22
262861;1328859;5;0,32;3,68
262862;1328859;6;0,32;3,68
262863;1328859;7;0,32;3,68
262864;1328859;8;0,32;2,22
262865;1328859;10;0,32;2,22
262796;1261105;13;0,43;2,22
262795;1261105;12;0,43;2,22
262794;1261105;10;0,43;2,22
262793;1261105;8;0,43;2,22
262792;1261105;7;0,43;5,58
262791;1261105;6;0,43;5,58
262790;1261105;5;0,43;5,58
262797;1261105;21;0,43;2,22
262799;1261105;73;0,43;2,22
262807;1261105;101;0,43;2,22
262806;1261105;94;0,43;5,58
262805;1261105;93;0,43;5,58
262804;1261105;88;0,43;2,22
262803;1261105;83;0,43;2,22
262802;1261105;82;0,43;5,58
262789;1261105;4;0,43;5,58
262801;1261105;76;0,43;5,58
262800;1261105;75;0,43;5,58
262788;1261105;3;0,43;5,58
262787;1261105;1;0,43;2,22
262798;1261105;22;0,43;2,22
262589;1204690;10;0,43;2,22
262588;1204690;8;0,43;2,22
262587;1204690;7;0,43;6,04
262586;1204690;6;0,43;6,04
262594;1204690;73;0,43;2,22
262585;1204690;5;0,43;6,04
262584;1204690;4;0,43;6,04
262583;1204690;3;0,43;6,04
262582;1204690;1;0,43;2,22
262590;1204690;12;0,43;2,22
262591;1204690;13;0,43;2,22
262601;1204690;101;0,43;2,22
262600;1204690;93;0,43;6,04
262599;1204690;88;0,43;2,22
262598;1204690;83;0,43;2,22
262597;1204690;82;0,43;6,04
262595;1204690;75;0,43;6,04
262596;1204690;76;0,43;6,04
262593;1204690;22;0,43;2,22
262592;1204690;21;0,43;2,22
262581;1202060;101;0,43;2,22
262574;1202060;73;0,43;2,22
262573;1202060;22;0,43;2,22
262580;1202060;93;0,43;5,60
